finding_id,source_or_pass,canonical_finding,disposition,placement_or_owner,remediation_state,evidence_or_dependency,notes
IR-1,post-Milestone-0.2 implementation review,GDScript scenario construction has a fail-open defect.,ACCEPTED,engine / Scenario construction,IMPLEMENTATION_READY,accepted audit finding,Runtime change is outside this governance tranche.
IR-2,post-Milestone-0.2 implementation review,Effective numeric modifier 0x26 must suppress counterattack eligibility.,ACCEPTED,engine / counterattack eligibility,IMPLEMENTATION_READY,accepted audit finding,Use effective numeric identity; do not infer a localized-name rule.
IR-3,post-Milestone-0.2 implementation review,Remove the unsupported zero-stamina Неутомимый counterattack exception; do not replace it with effective 0x12.,ACCEPTED,engine / counterattack eligibility,IMPLEMENTATION_READY,accepted audit finding,No replacement exception is authorized.
IR-4,post-Milestone-0.2 implementation review,Add a zero-movement plus unspent-action plus adjacent-enemy melee regression; current gameplay is already correct.,ACCEPTED,engine / scenario regression coverage,TEST_READY_NO_GAMEPLAY_CHANGE,accepted audit finding,Zero movement alone does not spend the action.
IR-5,post-Milestone-0.2 implementation review,Reconcile current documentation status and release claims.,ACCEPTED,governance / current documentation,RECONCILED_THIS_TRANCHE,AUD-REM-GOV-01,Historical task records remain historical.
AD-1,architecture audit,Resolve battle-context/provider ownership for modifier-7 effective speed.,HELD,engine architecture / effective-speed provider,AWAITING_ARCHITECTURE_DECISION,R8 recovered rule,The R8 live-capacity comparator is implemented; provider aggregation is not.
AD-2,architecture audit,Decide whether Status.prevents_action is authoritative and name every affected surface.,HELD,engine architecture / status authority,AWAITING_ARCHITECTURE_DECISION,stable status model,A field name is not semantic evidence.
AD-3,architecture and content audit,Resolve production action-definition composition source binding per-unit availability and magnitude and Scenario injection.,HELD,engine + content architecture,AWAITING_ARCHITECTURE_DECISION,DELIB-0001 pending action-composition work,Python hand-authored catalogue entries are not production truth.
AD-4,profile/content audit,Assign pack-qualified ownership for Genesis death replacement source records 21/37/56/65.,HELD,engine + content/profile architecture,AWAITING_PROFILE_DECISION,Genesis death-replacement recovery,Do not promote the IDs to pack-independent identities.
GV-1,post-Milestone-0.2 governance audit,Reconcile auxiliary implementation-status text after CX-008 through CX-013.,ACCEPTED,governance / status surfaces,RECONCILED_THIS_TRANCHE,CX-008..CX-013 accepted review records,Implementation does not upgrade PROVEN to VERIFIED.
GV-2,post-registry lineage audit,Backfill material public-lineage transfer coverage.,ACCEPTED,binary/governance / transfer registries,BACKFILLED_THIS_TRANCHE,DELIB-0002 and tracked task/release records,Unestablished classifications remain explicitly unclassified.
GV-3,post-Milestone-0.2 governance audit,Create a durable audit-disposition ledger.,ACCEPTED,binary/governance / docs/AUDIT_LEDGER.csv,COMPLETED_THIS_TRANCHE,AUD-REM-GOV-01,This row records the ledger itself.
GV-4,post-Milestone-0.2 governance audit,Correct public and current documentation claims.,ACCEPTED,governance / public-current documentation,RECONCILED_THIS_TRANCHE,AUD-REM-GOV-01,No historical decision record was rewritten.
PV-1,tracked provenance/history pass,Establish tools/reference/abil_doc.json source transformation history and redistribution basis from tracked evidence.,HELD,artifact owner / provenance governance,TRACKED_EVIDENCE_INSUFFICIENT,commit 39652ab; current blob SHA-256 aaa7a9b97369331d42470ab41b0328e9c9d6a9e5bcdff0653801744060c88be4,Exact owner question is recorded in PROVENANCE_AND_DATA_POLICY.md.
CL-1,implementation cleanup audit,Action.suppresses_counterattack is a cleanup candidate and must not gain new semantics here.,HELD_WITH_AD-3,engine / action model composition,AWAITING_AD-3,AD-3,Cleanup ownership follows the production action-definition decision.
RS-1,New Horizons research audit,Research NH modifier-0x5B death replacement.,DEFERRED,binary/governance + engine / NH compatibility,DEFERRED_UNTIL_NH_SCHEDULED,NH compatibility not executable,Do not generalize Genesis replacement records.
REJ-MOVE,audit rejection pass,Movement exhaustion is a Project EGO gameplay defect.,REJECTED,governance / current behavior,NO_REMEDIATION,current action_spent and movement model,Current behavior is correct; IR-4 adds regression coverage only.
REJ-SCENARIO-RUN,audit rejection pass,Scenario.run trusted-fixture legality is a current production defect.,REJECTED,engine / scenario boundary,NO_REMEDIATION,trusted-fixture boundary,IR-1 is limited to scenario construction fail-open behavior.
REJ-RUSSIAN-KEYS,audit rejection pass,Russian symbolic mechanic keys are localization defects by themselves.,REJECTED,content/engine identity boundary,NO_REMEDIATION,identity and display text are separate,Do not infer a defect solely from symbolic language.
REJ-0X12-OR,audit rejection pass,Raw/effective 0x12 OR redundancy is a behavioral defect.,REJECTED,engine / modifier query,NO_REMEDIATION,accepted audit disposition,Cleanup without behavior change may be considered separately.
REJ-0X12-COUNTER,audit rejection pass,Effective 0x12 is a zero-stamina counterattack exception.,REJECTED,engine / counterattack eligibility,NO_REMEDIATION,IR-3,No replacement exception is authorized.
REJ-PREVENTS-ACTION,audit rejection pass,Wire prevents_action merely because its name implies authority.,REJECTED,engine architecture / status authority,NO_REMEDIATION,AD-2,Authority requires an explicit architecture decision.
REJ-PY-ACTIONS,audit rejection pass,Copy Python hand-authored fourteen-action catalogue into GDScript as production truth.,REJECTED,engine + content architecture,NO_REMEDIATION,AD-3,Production composition and per-unit source binding remain unresolved.
