source_id,kind,local_path,sha256,size_bytes,format,archive_mtime,repository_anchor,repository_policy,notes
ARCHIVE-20260803,archive,Eador_archive.zip,2dcfe4acd86697f3f5b7d363a9916d13d44f19b48fe178368937794fe7b111b0,13194902,zip,2026-08-03,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Complete uploaded evidence package
BIN-1052-RU-GOG,binary,Eador_debug.exe,443329dde09a80be9a71f86cd193c9b2c156cb203ae26a2cf6bea5fface5a1c0,1170432,PE32/i386,2026-08-03 10:33:08,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Canonical inspected executable
GHIDRA-1212,ghidra_project,Eador Ghidra.rep/,df400b9d65aaf2f129fd767d393c15fe9fcb4ee49eb897b39c0718c2f4488f07,45271449,Ghidra 12.1.2 project tree,2026-08-03,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Pair with zero-byte Eador Ghidra.gpr marker
EXP-CI01,decompilation_export,exports/closer_inspection_1.txt,a6e2f7619343d45807ac194f0fcb3d68b6e4f535023bad9de76c6a12dc6500d3,30665,UTF-8/plain text,2026-08-03 11:29:56,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 1
EXP-CI02,decompilation_export,exports/closer_inspection_2.txt,c0746e0e4bd278b51039ac1fb50eb3a309c68201cb8120220ea8824649bda105,95699,UTF-8/plain text,2026-08-03 12:02:18,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 2
EXP-CI03,decompilation_export,exports/closer_inspection_3.txt,a6edfbb3670307c1010cf0d59fb53eed881b270069f76944d06006b4e26854b6,37777,UTF-8/plain text,2026-08-03 12:11:46,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 3
EXP-CI04,decompilation_export,exports/closer_inspection_4.txt,e04f4f465fe5aa7f5fdc2155b43ab386d0167092d797f12cf2ad2c72575c0708,12394,UTF-8/plain text,2026-08-03 12:24:34,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 4
EXP-CI05,decompilation_export,exports/closer_inspection_5.txt,2ac90237738a6c549968fe5fc7a0d9bae34c5a114c7d816c663172073c4011be,154128,UTF-8/plain text,2026-08-03 12:52:06,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 5
EXP-CI06,decompilation_export,exports/closer_inspection_6.txt,9386c455f1efccf7ed33ce92fb2ce595eb760b8f147828edb1a503d8c64d24d6,49422,UTF-8/plain text,2026-08-03 13:29:14,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 6
EXP-CI07,decompilation_export,exports/closer_inspection_7.txt,09538a159b10d30b519602ecb61d12af88943d4db299e660e5a8adfc93a858b8,32952,UTF-8/plain text,2026-08-03 13:46:56,5721c79d59ad370ae6f7ae8a6b4e5a3c48760ca2,local/private,Closer-inspection packet 7
