path,oracle_class,current_role,retention_criterion,expansion_allowed_by_default,notes
oracle/actions.py,O3,Activated-action definitions and evidence catalogue used by current tactical tests and composition.,Maintain only behavior required by retained fixtures and O2 scenarios.,no,Structurally participates in project action orchestration; catalogue evidence does not grant default feature parity.
oracle/action_execution.py,O3,Typed action-plan resolution and execution mirror for current tactical actions.,Maintain only existing compatibility coverage until a dedicated narrowing review.,no,Project-owned orchestration structurally mirrors the production plan layer.
oracle/auras.py,O2,"Continuous-aura collection, stacking, projection, and tick behavior used by scenario/log fixtures.",Retain only the aura capability envelope exercised by curated executable compatibility scenarios.,no,Initial O2 spine from DELIB-0008; capability-bounded rather than full future parity.
oracle/battlefield.py,O2,"Hex coordinates, occupancy, pathfinding, and deterministic tie-breaking used by scenario/log fixtures.",Retain the battlefield capability envelope required by curated executable compatibility scenarios.,no,Initial O2 spine from DELIB-0008; project-designed extensions remain opt-in.
oracle/bind_blockers.py,O4,Historical pack-binding utility for a reviewed set of blocking opcodes.,Retain as binding-claim and tooling provenance; it creates no standing parity obligation.,no,Utility is not part of the production scenario execution spine.
oracle/charge.py,O1,Compact recovered command-entry melee-charge arithmetic kernel.,Recovered exact arithmetic and ordering edge R3 with independent focused vectors.,no,Profile selection remains outside the kernel; expansion requires explicit REQUIRED scope.
oracle/combat.py,O2,Executable combat pipeline and numeric primitives driving scenario/log compatibility fixtures.,Retain the existing compatibility-critical combat sequencing capability and its evidence-sensitive kernels.,no,Module also contains strong O1-style arithmetic responsibilities but its standing module role is the O2 integration spine.
oracle/content.py,O3,"Content-pack loading, binding registry, fingerprinting, and Scenario provider mirror.",Maintain only behavior required by current fixtures and retained O2 scenarios.,no,Project-owned content/composition architecture is not mirrored by default.
oracle/content_actions.py,O3,Profile-aware action-definition composition and grant resolution mirror.,Maintain only existing compatibility coverage until dedicated narrowing or reclassification.,no,Composition plumbing is a DELIB-0008 default non-retention area.
oracle/counterattack.py,O2,Melee retaliation ordering and exchange integration used by scenario/log fixtures.,Retain the existing counterattack sequencing capability exercised by curated compatibility scenarios.,no,Initial O2 spine from DELIB-0008; new exchange features require explicit justification.
oracle/death_lifecycle.py,O3,Address-free tactical death-lifecycle orchestration mirrored from the accepted engine contract.,Maintain only behavior required by current fixtures and retained scenarios.,no,Same-contract orchestration is maintenance-only; no default lifecycle feature parity.
oracle/death_replacement.py,O3,Genesis-qualified tactical death-replacement resolver mirror.,Maintain only existing replacement fixtures and scenario dependencies.,no,DELIB-0008 identified this as a same-session structural port rather than independent evidence.
oracle/declarative_action_recipe.py,O3,Validation and normalization mirror for the project-owned declarative action recipe subset.,Maintain only the current recipe coverage and dependencies.,no,Package/action composition does not expand in Python by default.
oracle/handlers.py,O3,Named modifier/content handler implementations and registry plumbing.,Maintain only handlers required by existing fixtures and O2 scenario capabilities.,no,Handler plumbing was an explicit likely maintenance-only area in DELIB-0008.
oracle/identity.py,O3,Canonical content identity and lookup/index structures mirrored for current content fixtures.,Maintain only existing content and scenario dependencies.,no,Generic identity bookkeeping is project-owned orchestration rather than independent evidence.
oracle/legacy_rng.py,O1,Independent MSVC CRT generator and bounded adapter with golden state/call vectors.,"RNG state topology, bounded-call behavior, and recovered call-order compatibility.",no,Strongest DELIB-0008 O1 example; expansion still requires explicit REQUIRED scope.
oracle/make_fixtures.py,O4,Generator for committed cross-language fixtures and traces across the existing oracle surface.,Retain as expected-artifact provenance and regenerate only under explicitly authorized semantic scope.,no,"Broad generator utility is provenance/vector infrastructure, not entitlement for its imported modules to expand."
oracle/modifier.py,O2,Modifier value and ordered resolution pipeline used throughout scenario/log fixtures.,Retain the modifier capability envelope required by curated executable compatibility scenarios.,no,Initial O2 spine from DELIB-0008; O2 is capability-bounded.
oracle/modifier_semantic.py,O2,Closed semantic modifier-query vocabulary used by the retained integration spine.,Retain the currently exercised semantic-query capability for curated compatibility scenarios.,no,Initial O2 spine from DELIB-0008; vocabulary expansion is not automatic.
oracle/roster.py,O3,Content-record to live-combatant construction and unresolved-ability reporting mirror.,Maintain only existing roster fixtures and O2 scenario dependencies.,no,Roster/content plumbing is maintenance-only under DELIB-0008.
oracle/scenario.py,O2,Deterministic scenario command execution and ordered log/trace generator.,Retain selected end-to-end scenario/log differential capability where focused vectors are materially weaker.,no,Central curated O2 harness; not a promise of full tactical or future engine parity.
oracle/statuses.py,O2,Runtime status policy and modifier/capability integration used by scenario/log fixtures.,Retain the current status capability envelope exercised by curated compatibility scenarios.,no,Initial O2 spine from DELIB-0008; unresolved lifecycle work is not pre-authorized.
oracle/turn.py,O2,Action-resource and round/side sequencing used by deterministic scenario/log execution.,Retain current turn-sequencing capability for curated compatibility scenarios.,no,Initial O2 spine from DELIB-0008; generic future orchestration remains opt-in.
