artifact,symbol_or_scope,current_basis,necessity_class,transfer_class,materiality,public_basis,binary_basis,binary_basis_surface,public_basis_sufficient,required_action,owner,status,notes
core/rules/pipeline.gd,Pipeline,Project-authored hook architecture,N0_PUBLIC,T0_RETAIN,high architectural value,None required; generic deterministic pipeline,None required,none,yes,Retain; ordinary code review only,engine,preliminary,Stable ordering is explicitly project-defined rather than claimed legacy semantics.
core/rules/wounds.gd,Wounds.modifier,Eadoropedia wound curve,N0_PUBLIC,T1_SANITIZE,frequent combat effect,Eadoropedia mechanics: heavy-wound multiplier,Binary confirmation not necessary,none,yes,Retain behaviour; cite public/spec source and remove unnecessary binary-shaped commentary if present,engine,preliminary,No need to mirror original helper structure.
core/rules/damage.gd,roll_attack; negative_damage_hits,Eadoropedia exact formulas,N0_PUBLIC,T1_SANITIZE,frequent combat effect,Eadoropedia random attack and negative-damage formulas,Binary confirmation only,comment_only,yes,Retain conventional implementation; public-source tests become primary,engine,preliminary,Do not label these formulas binary-originated.
core/rules/damage.gd,current_attack broad additive/multiplier formula,Eadoropedia mechanics,N0_PUBLIC,T1_SANITIZE,frequent combat effect,Published current-attack formula,R1/R6 confirm edge ordering,comment_only,yes,Retain broad code shape; separate exact edges into independent rules/tests,engine,preliminary,Public basis is sufficient for main formula.
core/rules/damage.gd,morale whole-percent truncation and multiplier order,Binary R1/R6 exact arithmetic,N2_EXACT_EDGE,T2_REIMPLEMENT,material at low values and fractional products,Public formula does not fully specify intermediate truncation,EXP-R1-001 and effective-attack reductions,behavioural_structure,no,Reduce to address-free arithmetic spec and golden vectors; independently rewrite before transfer,engine,preliminary,Current comments are heavily binary-shaped.
core/rules/damage.gd,ranged zero-sum early return/provider cut-off,Binary R6,N2_EXACT_EDGE,T2_REIMPLEMENT,material for zero-ranged-attack units and later modifiers,Public descriptions do not establish provider cut-off,R6,behavioural_structure,no,Confirm reachability with content fixtures; export neutral before/after-provider vector; rewrite before transfer,engine,preliminary,Do not copy original provider partition/control flow.
core/rules/damage.gd,current_defence: zero stamina halves and clamps,Eadoropedia plus R9,N0_PUBLIC,T1_SANITIZE,frequent exhausted-unit effect,Eadoropedia stamina table,R9 confirms exact-zero predicate and final clamp,comment_only,yes,Retain normal implementation; cite public rule; keep only material edge tests,engine,preliminary,Positive-value behaviour is publicly specified.
core/rules/damage.gd,negative defence odd-value signed truncation and complete provider order,Binary R9,N3_INTERNAL,T3_RESEARCH_ONLY,low unless modded negative defence is reachable,No public need identified,R9,research_artifact,no,Do not transfer as universal requirement unless a material mod fixture demonstrates reachability,binary,preliminary,Keep in private evidence ledger.
core/rules/stamina.gd,modifier; speed_penalty; is_exhausted,Public stamina curve plus corrected mutation-only tireless rule,N0_PUBLIC,T1_SANITIZE,high correctness impact for direct/imported stamina changes,Eadoropedia stamina effects and broad tireless mutation immunity,R8/R9/R11 prove stat functions use live stamina,comment_only,yes,Retain corrected conventional implementation; transfer public/spec tests and sanitize private address provenance,engine,corrected,Engine fix landed: penalties derive from live stamina; modifier 0x12 remains only at mutation gates.
oracle/combat.py,stamina_mod,Public stamina curve plus corrected live-value oracle,N0_PUBLIC,T1_SANITIZE,oracle contaminates all dependent tests,Eadoropedia stamina curve,R11 contradicts exemption,comment_only,yes,Retain corrected oracle behaviour; transfer public/spec test and sanitize private address provenance,engine,corrected,Oracle fix landed and the old exemption assertion was replaced.
core/battle/action_points.gd,effective_speed,Public stamina-speed thresholds; recovered modifier-7 provider rule separated,N0_PUBLIC,T1_SANITIZE,frequent movement effect,Eadoropedia speed penalties,R8 confirms stamina thresholds; modifier-7 provider aggregation is a separate AD-1 row,comment_only,yes,Retain base/stamina threshold result and sanitize provenance; do not claim modifier-7 aggregation is implemented,engine,implemented_partial,Base speed and live-stamina reductions are implemented; battle-context modifier-7 providers remain held under AD-1.
core/battle/action_points.gd,attack_stamina_cost,Recovered R8 live-capacity comparator under accepted Genesis routing,N2_EXACT_EDGE,T2_REIMPLEMENT,narrow but potentially material after capacity restoration,Public moved/stationary prose does not settle restoration/reselection edge,EXP-R8A-001 through EXP-R8E-001,behavioural_structure,no,Export neutral capacity/effective-speed vectors and independently reimplement for a future Genesis profile,engine,implemented_mixed_lineage,Strict live-capacity comparator and restoration ordering are implemented; effective-speed modifier-7 aggregation remains AD-1.
core/battle/action_points.gd; oracle/turn.py,steps_this_round charge semantics,Accepted profile split: Genesis command-entry charge; cumulative path state is not Genesis compatibility,N0_PUBLIC + N4_PROFILE,T0_RETAIN + T2_REIMPLEMENT,high when selecting charge profile,Project-native bookkeeping is project-authored; public prose does not settle Genesis exact edge,R3 confirms Genesis command-entry coordinate behavior,mixed,partial,Split project-native bookkeeping from neutral Genesis command-entry vectors before transfer,engine,split_required,DELIB-0003 profile routing and Genesis charge implementation supersede the earlier blocked-on-deliberation state.
core/battle/round_loop.gd,whole-side phase model,Observable battle control,N1_BLACKBOX,T1_SANITIZE,high turn-order impact,Public initiative wording plus direct observation,R7 confirms whole-side phases,comment_only,yes,Retain architecture; remove stale open-question/assumption comments and cite behavioural spec,engine,documentation_cleanup,No need to transfer binary loop structure.
oracle/turn.py,"round, activation, extra-turn and command state model","Mixed public rules, R3/R7/R8 and unresolved R12/R13 assumptions",N2_EXACT_EDGE,T2_REIMPLEMENT,high lifecycle impact,Ability descriptions and visible battle flow,R3/R7/R8 plus pending R12/R13,mixed,partial,Split into stable public rules and unresolved lifecycle specs; rewrite marked parts after black-box matrix,engine,preliminary,"File comments presently mix settled, contradicted and assumed claims."
core/rules/statuses.gd,stacking/resistance architecture,Public ability descriptions and project-authored pipeline,N0_PUBLIC,T0_RETAIN,high reusable architecture,Eadoropedia ability descriptions,Binary not required,none,yes,Retain architecture; ordinary review,engine,implemented_mixed_lineage,Stable project-authored stacking/resistance/query machinery is implemented; automatic lifecycle remains separate.
core/rules/statuses.gd,duration tick/expiry and UNTIL_NEXT_TURN boundaries,Public descriptions incomplete at phase boundaries,N2_EXACT_EDGE,T2_REIMPLEMENT,high for duration-one effects and extra turns,Broad duration language,R13 pending if black box cannot settle,behavioural_structure,partial,Build black-box lifecycle matrix; reduce to finite event order; rewrite only boundary logic,engine,needs_blackbox,Do not reconstruct original status loop wholesale.
