ability_id,name,trigger_class,zero_damage_public,condition_or_exclusions,order_sensitive_question,public_disposition,existing_binary_link,next_step,priority
40,Оглушающий удар,each melee hit,explicit reduced drain on zero damage,does not affect incorporeal,drain before or after lethal hit is usually nonmaterial; use as zero-damage control,PUBLIC_SPEC_READY,Genesis 0x28 working mapping,fixture control,P0
41,Ядовитая атака,melee attack,not stated,three-turn poison,does a zero-damage hit poison; relation to immunity/status merge,BLACKBOX_FIRST,unmapped public candidate,zero-damage test,P1
43,Сглаз,positive wound,does not trigger without wounding by wording,resistance shortens duration,apply before or after primary damage commit; healing lock timing,PUBLIC_TRIGGER_READY,unmapped public candidate,neutral positive-damage fixture,P1
44,Кража снарядов,melee attack with successful theft,morale reduction depends on successful theft,excludes artillery incorporeal animals and natural weapons; attacker may replenish matching ammo,ammo removal/replenishment/morale order at low ammo,PUBLIC_SPEC_EDGE,Genesis 0x2C working mapping,low-ammo fixture,P1
45,Повреждение брони,melee attack,not stated,three turns; excludes incorporeal,zero-damage trigger and whether current hit benefits from reduced defence,BLACKBOX_FIRST,unmapped public candidate,zero-damage plus second-hit test,P0
50,Устрашение,melee attack,not stated,None,zero-damage trigger and interaction with heavy-hit morale,PUBLIC_TRIGGER_EDGE,unmapped public candidate,zero-damage test,P1
51,Калечащий удар,melee attack,not stated,excludes incorporeal and artillery; counterattack cancels Hit and Return,whether speed penalty applies on zero damage; return cancellation timing,OBSERVATION_READY,unmapped public candidate,R12 plus zero-damage test,P0
52,Повреждение оружия,defender reactive when attacked in melee,wording is attack-based,excludes incorporeal,does it apply if defender or attacker dies in the exchange; does current counterattack use reduced stat,BLACKBOX_FIRST,unmapped public candidate,reactive-death fixture,P1
57,Похищение душ,melee kill,not applicable,kill required,fixed healing order relative to death/revival and other kill rewards,PUBLIC_KILL_TRIGGER,unmapped public candidate,kill-reward fixture,P1
63,Затаптывание,post-attack threshold then kill/occupy,not applicable,target remaining life at or below magnitude; excludes flying and large,threshold before/after other damage; retaliation; death and tile occupation order,BLACKBOX_FIRST,unmapped public candidate,trample fixture,P0
64,Повелитель нежити,kill trigger with selectable attack mode,not applicable,raises killed enemy; alternate mode suppresses raising; counterattack always raises,corpse creation and replacement order; counterattack difference; resource reward order,PROFILE_AND_BLACKBOX,unmapped public candidate,focused kill-mode matrix,P1
65,Общая атака,root melee attack fans to adjacent enemies,secondary hits can deal zero,None,target order; retaliation count; recursive secondary suppression,EXISTING_BINARY_REDUCTION,Genesis 0x41 working mapping,reduce existing 004D9800 branch then black-box ties,P0
67,Корни,melee attack,not stated,excludes incorporeal; agility shortens duration,zero-damage trigger; whether counterattack roots cancel return before movement back,OBSERVATION_READY,unmapped public candidate,R12 and zero-damage test,P0
68,Кровопийца,positive melee damage,requires dealt damage,heal percentage of actual damage,overkill clamp and heal timing after target death,PUBLIC_TRIGGER_READY,Genesis 0x44 working mapping,neutral actual-damage fixture,P1
73,Насылает уязвимость,positive melee damage,requires dealt damage by wording,target spell applicability,spell application before/after death and resistance handling,PUBLIC_TRIGGER_READY,unmapped public candidate,positive-damage fixture,P1
74,Насылает чахотку,positive melee damage,requires dealt damage by wording,target disease exclusions from invoked spell,spell application before/after death and duplicate policy,PUBLIC_TRIGGER_READY,unmapped public candidate,positive-damage fixture,P1
133,Ядовитая плоть,defender reactive when attacked in melee,wording is attack-based,attacker receives poison,does poison apply if defender takes zero damage or dies; relative to attacker's death,BLACKBOX_FIRST,unmapped public candidate,reactive-death fixture,P1
327,Кровавое безумие,melee attack kill,not applicable,once per turn; costs two stamina and grants another action,reset timing; order with other kill rewards and zero stamina,PUBLIC_KILL_TRIGGER_EDGE,unmapped public candidate,kill plus extra-turn fixture,P0
388,Удар щитом,attack replacement,ordinary damage is explicitly zero,excludes incorporeal; no ordinary on-hit effects; no retaliation,must bypass ordinary secondary chain entirely,PUBLIC_SPEC_READY,public action catalogue,implementation fixture,P0
403,Тёмное восполнение,melee kill,not applicable,restore ammunition by magnitude,order with death/revival and ammunition cap,PUBLIC_KILL_TRIGGER,unmapped public candidate,kill-reward fixture,P1
462,Острое оружие,melee attack,not stated,bleed two turns or four when target life is half or less; regeneration halves duration,health threshold measured before or after primary hit,BLACKBOX_FIRST,unmapped public candidate,half-life crossing fixture,P0
464,Зачарованный клинок,melee attack additional magical damage,primary can be zero while magical component is positive,additional typed damage,component order relative to death; damage-based triggers; life steal; morale,BLACKBOX_FIRST,unmapped public candidate,split-damage fixture,P0
465,Жажда крови,kill and heavy-hit reaction,not applicable,full morale on melee-attack kill; half on counterattack or shot,order with ordinary morale loss/gain and death propagation,PUBLIC_KILL_TRIGGER_EDGE,unmapped public candidate,kill morale fixture,P1
466,Повреждение ауры,melee attack,not stated,excludes mechanisms and golems; resistance -1 for three turns,zero-damage trigger and whether current magical component sees reduced resistance,BLACKBOX_FIRST,unmapped public candidate,zero-damage plus enchanted-blade interaction,P0
472,Сменить оружие,selected attack-mode rider,not stated,applies named spell if target is eligible; extra stamina,spell application relative to primary damage/death and ordinary on-hit chain,BLACKBOX_FIRST,unmapped public candidate,mode-order fixture,P1
503,Настороженность,each hit received,wording is hit-based,defence increases until end of turn,whether the current hit or only subsequent hits use the increase,BLACKBOX_FIRST,unmapped public candidate,two-hit same-turn fixture,P0
518,Удар и возврат,post-attack movement rider,not applicable,counterattacking Roots or Crippling Strike cancels return,return after retaliation and after follow-up attacks; anchor lifetime,OBSERVATION_READY,public action catalogue,R12 protocol,P0
519,Удар в спину,positional melee attack,successful backstab raises morale,excludes incorporeal; opposite-side ally position required,extra damage placement and success predicate for morale,PUBLIC_TRIGGER_EDGE,unmapped public candidate,positional zero-damage fixture,P1
584,Волчья стая,follow-up allied attacks,not applicable,root wolf must survive; adjacent eligible wolves already acted; follow-ups cost no stamina,follow-ups before or after retaliation and target death; order among wolves,BLACKBOX_FIRST,unmapped public candidate,pack-order fixture,P0
586,Сила в единстве,follow-up allied attacks,not applicable,root centaur must survive; adjacent eligible centaurs already acted; follow-up costs one stamina,follow-ups before or after retaliation and target death; cost/eligibility ordering,BLACKBOX_FIRST,unmapped public candidate,centaur-order fixture,P0
597,Двойной удар,second attack after melee attack,not applicable,target must remain alive after first attack,retaliation between strikes or after both; ordinary second-hit effects; action costs,BLACKBOX_FIRST,unmapped public candidate,double-hit fixture,P0
600,Парализующее касание,attack/counterattack/shot status,not stated,living targets; excludes magic-immune and mind-immune; melee consumes charge,trigger chance/charge timing and whether zero-damage hit qualifies,DATA_OR_BLACKBOX,unmapped public candidate,data record then fixture,P1
602,Смертельное касание,ordinary attack instant kill,not applicable,excludes undead mechanisms elementals heroes; consumes charge; not on counterattack,instant kill before/after ordinary damage/on-hit/retaliation and kill rewards,BLACKBOX_FIRST,unmapped public candidate,death-touch order fixture,P0
binary_0x4F,unknown automatic battle-action trigger,root-hit automatic action,unknown,public source mapping unresolved,which source content invokes it and whether result is pre/post damage,DATA_DICTIONARY_FIRST,Genesis 0x4F branch,find reachable content record before any binary packet,P2
binary_0x50,unknown automatic battle-action trigger,root-hit automatic action,unknown,public source mapping unresolved,which source content invokes it and whether result is pre/post damage,DATA_DICTIONARY_FIRST,Genesis 0x50 branch,find reachable content record before any binary packet,P2
