modifier_id_dec,modifier_id_hex,data_labels,upgrade_names_ru,provider_count,representative_providers,recovered_mechanics,mechanics_confidence,name_status,notes
0,0x00,Ability|Effect,,3,unit_upg.var/0 Пусто (qty 0) | item.var/0 Пусто | item_set.var/0 Пусто,,data only,confirmed from data,
1,0x01,Life,Жизнь +1|Жизнь +2|Жизнь +3|Жизнь +4|Здоровье +1|Здоровье +2,177,unit_upg.var/1 Жизнь +1 (qty 1) | unit_upg.var/2 Жизнь +2 (qty 2) | unit_upg.var/3 Жизнь +3 (qty 3) | unit_upg.var/25 Жизнь +4 (qty 4) | unit_upg.var/36 Здоровье +1 (qty 1) | unit_upg.var/37 Здоровье +2 (qty 2) | item.var/63 Тога | item.var/64 Туника,,data only,confirmed from data,Provider list truncated
2,0x02,Attack,Атака +1|Атака +2|Атака +3|Сила +1|Сила +2,126,unit_upg.var/4 Атака +1 (qty 1) | unit_upg.var/5 Атака +2 (qty 2) | unit_upg.var/6 Атака +3 (qty 3) | unit_upg.var/38 Сила +1 (qty 1) | unit_upg.var/39 Сила +2 (qty 2) | item.var/1 Нож | item.var/2 Кинжал | item.var/3 Стилет,,data only,confirmed from data,Provider list truncated
3,0x03,CounterAttack,Контратака +1|Контратака +2|Контратака +3,111,unit_upg.var/7 Контратака +1 (qty 1) | unit_upg.var/8 Контратака +2 (qty 2) | unit_upg.var/9 Контратака +3 (qty 3) | item.var/1 Нож | item.var/2 Кинжал | item.var/3 Стилет | item.var/4 Тесак | item.var/5 Короткий посох,,data only,confirmed from data,Provider list truncated
4,0x04,Defence|Defense|defence,Броня +1|Броня +2|Защита +1|Защита +2|Защита +3,87,unit_upg.var/10 Защита +1 (qty 1) | unit_upg.var/11 Защита +2 (qty 2) | unit_upg.var/12 Защита +3 (qty 3) | unit_upg.var/40 Броня +1 (qty 1) | unit_upg.var/41 Броня +2 (qty 2) | item.var/8 Боевой посох | item.var/41 Кулачный щит | item.var/43 Круглый щит,,data only,confirmed from data,Provider list truncated
5,0x05,RangedDefence|Rangedefence,Защита от стрел +1|Защита от стрел +2|Защита от стрел +3,87,unit_upg.var/13 Защита от стрел +1 (qty 1) | unit_upg.var/14 Защита от стрел +2 (qty 2) | unit_upg.var/15 Защита от стрел +3 (qty 3) | item.var/42 Деревянный щит | item.var/43 Круглый щит | item.var/44 Пехотный щит | item.var/45 Рыцарский щит | item.var/51 Кожаная куртка,,data only,confirmed from data,Provider list truncated
6,0x06,Resist|Resistance,Сила воли +1|Сила воли +2|Сопротивление +1|Сопротивление +2|Сопротивление +3,71,unit_upg.var/16 Сопротивление +1 (qty 1) | unit_upg.var/17 Сопротивление +2 (qty 2) | unit_upg.var/18 Сопротивление +3 (qty 3) | unit_upg.var/42 Сила воли +1 (qty 1) | unit_upg.var/43 Сила воли +2 (qty 2) | item.var/124 Малахитовый амулет | item.var/125 Агатовый амулет | item.var/185 Знамя Несокрушимости,,data only,confirmed from data,Provider list truncated
7,0x07,Speed,Скорость +1,26,unit_upg.var/19 Скорость +1 (qty 1) | item.var/59 Нагрудник | item.var/60 Кираса | item.var/61 Панцирь | item.var/62 Мифрильная кираса | item.var/137 Молниеносный кинжал | item.var/202 Ручная баллиста | item.var/258 Гвардейский панцирь,,data only,confirmed from data,Provider list truncated
8,0x08,RangeAttack|RangedAttack,Сила выстрела +1|Сила выстрела +2|Сила выстрела +3,44,unit_upg.var/20 Сила выстрела +1 (qty 1) | unit_upg.var/21 Сила выстрела +2 (qty 2) | unit_upg.var/22 Сила выстрела +3 (qty 3) | item.var/29 Короткий лук | item.var/30 Охотничий лук | item.var/31 Длинный лук | item.var/32 Композитный лук | item.var/33 Ручной арбалет,,data only,confirmed from data,Provider list truncated
9,0x09,Range|ShootingRange,Дальность +1|Дальность +2,41,unit_upg.var/23 Дальность +1 (qty 1) | unit_upg.var/24 Дальность +2 (qty 2) | item.var/29 Короткий лук | item.var/30 Охотничий лук | item.var/31 Длинный лук | item.var/32 Композитный лук | item.var/33 Ручной арбалет | item.var/34 Легкий арбалет,,data only,confirmed from data,Provider list truncated
