build,content_version,case_id,attacker,defender,abilities,initial_state,command_sequence,primary_damage,secondary_result,retaliation_order,follow_up_order,final_state,video_or_screenshot,interpretation,notes
,,M17-A-STUN,,,Оглушающий удар,,,,,,,,,,
,,M17-A-POISON,,,Ядовитая атака,,,,,,,,,,
,,M17-A-ARMOUR,,,Повреждение брони,,,,,,,,,,
,,M17-A-FEAR,,,Устрашение,,,,,,,,,,
,,M17-A-ROOTS,,,Корни,,,,,,,,,,
,,M17-A-AURA,,,Повреждение ауры,,,,,,,,,,
,,M17-B-BLEED,,,Острое оружие,,,,,,,,,,
,,M17-C-ALERTNESS,,,Настороженность,,,,,,,,,,
,,M17-D-DOUBLE,,,Двойной удар,,,,,,,,,,
,,M17-E-WOLF,,,Волчья стая,,,,,,,,,,
,,M17-E-CENTAUR,,,Сила в единстве,,,,,,,,,,
,,M17-F-MAGIC,,,Зачарованный клинок,,,,,,,,,,
,,M17-G-TRAMPLE,,,Затаптывание,,,,,,,,,,
,,M17-H-DEATH-TOUCH,,,Смертельное касание,,,,,,,,,,
