ability_id,name,family,public_target,public_cost,public_effect,public_interactions,current_model_coverage,remaining_material_question,next_evidence,necessity_status
20,Дополнительный выстрел,ranged attack replacement,one enemy in shooting range,listed additional stamina plus ordinary attack charge,two shots at one target,disables armour-piercing shot and halves accurate shot,catalogue and actor-only cost/availability present; execution absent,second-shot continuation after first-shot death and exact per-shot resource/on-hit order,reduce archived ranged-executor evidence before any new extraction,EXISTING_EVIDENCE_REDUCTION
361,Мощный выстрел,ranged attack replacement,one enemy in shooting range,listed additional stamina plus ordinary attack charge,one shot at 1.5 damage,None beyond ordinary ranged interaction,catalogue and actor-only cost/availability present; execution absent,1.5 multiplier placement and integer rounding,review archived ranged calculator/executor then black-box if still material,EXACT_EDGE_EXISTING_EVIDENCE_FIRST
59,Сокрушающий удар,melee attack replacement,one melee enemy,listed additional stamina plus ordinary attack charge,one melee hit at 1.5 attack power,None beyond ordinary melee interaction,catalogue and actor-only cost/availability present; execution absent,neutral fixture only; R10 settled placement after effective stat and before resolver,export R10 address-free vector,SPEC_READY
66,Круговая атака,area melee attack replacement,all adjacent enemies,listed additional stamina plus ordinary attack charge,attack every adjacent enemy,possible secondary propagation and target order,catalogue and actor-only cost/availability present; execution absent,target order; retaliation count; root versus secondary-hit propagation,public/black-box R17 matrix before narrow binary work,BLACKBOX_MATRIX
388,Удар щитом,melee attack replacement,one melee enemy,one listed stamina plus ordinary attack charge,no ordinary damage; drain target stamina,no normal on-hit effects; no retaliation; excludes incorporeal,catalogue and actor-only cost/availability present; execution absent,only ordinary integration and target legality; public main semantics are explicit,implement from public specification and test, PUBLIC_SPEC_READY
454,Бешенство,melee attack replacement,one melee enemy,two listed stamina plus ordinary attack charge,ordinary melee harm plus self-heal capped by magnitude and damage dealt,heal depends on actual dealt damage,catalogue and actor-only cost/availability present; execution absent,overkill/actual-damage accounting and post-death heal timing if parity requires it,public fixture first, PUBLIC_SPEC_READY_EDGE_SMALL
458,Глухая оборона,self buff,self,ordinary action; no explicit extra stamina in public text,increase both defences and gain vigilance until next turn; lower attack and counterattack,public text contains two independent magnitudes,catalogue and actor-only cost/availability present; execution absent,source/binding of second magnitude and exact next-turn boundary,data schema first; lifecycle through R13,DATA_AND_LIFECYCLE
29,Марш-бросок,self buff,self,three stamina,increase speed by one until end of turn,None,catalogue and actor-only cost/availability present; execution absent,end-of-turn event integration,implement from public specification and profile tests,PUBLIC_SPEC_READY
360,Снайперский выстрел,ranged attack mode,one enemy in extended shooting range,listed stamina plus ordinary attack charge,set speed to one for use; range plus one; accurate shot doubled,temporary per-shot ability scaling,catalogue and actor-only cost/availability present; execution absent,exact payment/selection timing and restoration of temporary context,public fixture first,PUBLIC_SPEC_READY_EDGE_SMALL
24,Целительство,support,one ally in shooting range,one ammunition,restore life around public magnitude,excludes undead mechanisms golems and elementals,catalogue and actor-only cost/availability present; execution absent,random distribution around average and exact cap behaviour,black-box distribution only if parity target needs it,BLACKBOX_DISTRIBUTION
374,Ремонт,support,one allied mechanism in shooting range,one ammunition,restore life around public magnitude and shorten armour/weapon damage,mechanisms only,catalogue and actor-only cost/availability present; execution absent,heal distribution and exact duration decrement,data/public search then black-box,DATA_OR_BLACKBOX
23,Сбор снарядов,resource action,no target,ordinary action,gain up to magnitude ammunition,adjacent squire guarantees at least one; multiple squire values use maximum,catalogue and actor-only cost/availability present; execution absent,random distribution and whether action is legal at full ammunition,black-box if material,BLACKBOX_DISTRIBUTION
49,Трупоед,corpse action,corpse,ordinary action except Ratmen keep the action,restore up to magnitude life,Ratman action-cost exception,catalogue and actor-only cost/availability present; execution absent,corpse eligibility/consumption and heal distribution,public/data first then black-box,BLACKBOX_TARGET_AND_DISTRIBUTION
518,Удар и возврат,attack movement rider,self toggled for next attack,one additional stamina plus ordinary attack charge,return after attack to movement-start tile,counterattacking roots or crippling strike cancels return,catalogue and actor-only cost/availability present; execution absent,anchor lifetime across reselection and granted turns,R12 controlled observation,OBSERVATION_READY
