family,representative_public_ids,representative_names,observable_contract,material_open_edge,current_repository_coverage,next_evidence,necessity_status
single_target_damage,"1;4;22","Магическая искра; Тройное лезвие; Молния",apply typed physical or magical damage to one target,damage channel/immunity/resistance and integer scaling,partial damage primitives exist; generic action execution incomplete,public vectors then existing binary only for exact channel edge,PUBLIC_FAMILY
resource_mutation,"2;3;13;17","Усталость; Воодушевление; Страх; Астральная энергия",change stamina morale and sometimes life immediately,cap/floor and resistance/immunity per resource,partial resource helpers exist,public vectors and black-box caps,PUBLIC_FAMILY
timed_scalar_modifier,"5;6;7;8;9;10;11;21","Волшебная броня; Волшебное оружие; Встречный ветер; Ускорение; Воздушный щит; Сглаз; Благословение; Уязвимость",create timed stat modifiers with exclusions and scaling,stack/update policy and duration boundary,Python status model exists; GDScript status container incomplete,public/data matrix plus R13 lifecycle,PUBLIC_FAMILY_LIFECYCLE_EDGE
remove_on_damage_status,"26;75","Сон; Общий сон",disable action until duration or received damage,exact wake point inside damage lifecycle,Python supports remove-on-damage concept; GDScript gap,black-box one-hit wake fixture,N2_EXACT_EDGE
immobilize_with_defence_change,18,Паутина,disable action while raising defence and reducing duration from target combat stats,integer duration reduction and later defence decay,partial status semantics only,public formula/data then black-box,PUBLIC_FAMILY_EDGE
ammo_mutation_plus_damage,"20;100","Сожжение снарядов; Руна распада",destroy ammunition and derive additional damage from amount actually removed,ordering at low ammunition and excluded target types,resource mutation exists separately,public low-ammo vectors,PUBLIC_FAMILY
heal_and_cleanse,"12;37;91;96","Лечение; Исцеление; Излечение; Сила жизни",restore life and optionally remove or shorten named negative effects,cleanup amount/order and target exclusions,partial heal/status helpers,public/data fixture matrix,PUBLIC_FAMILY
dispel_duration_reduction,"16;48","Снятие чар; Общее снятие чар",shorten hostile positive or friendly negative effects and damage enemy summons,sign classification; source grouping; duration floor,partial status model,public fixtures before any opcode work,PUBLIC_FAMILY
corpse_conversion_summon,"14;15;28;55;61","Подъятие скелета; Подъятие зомби; Подъятие упыря; Подъятие призрака; Подъятие вампира",consume eligible corpse and create a derived unit,corpse category mapping; tile/slot ownership; level scaling,content model partial; death/corpse lifecycle incomplete,public/data mapping plus black-box placement,PUBLIC_FAMILY
adjacent_summon,"19;31;34;35;45;67;76;77","Вызов беса; Создание горгульи; Вызов чёрта; Вызов адской гончей; Вызов демона; Вызов дьявола; Создание голема; Призыв феникса",create unit on legal nearby free tile,candidate tile ordering; ownership; battle-only identity,scenario/content primitives exist,public target legality then black-box tie case,PUBLIC_FAMILY
area_effect,"23;32;57;66;82;86","Взрыв; Каменный дождь; Похищение жизни; Огненная буря; Зловонное облако; Огненный взрыв",apply damage/resource/status effects to units in a radius,center inclusion; target order; simultaneous death/reward order,area battlefield primitives partial,public fixtures; order only if noncommutative,N1_BLACKBOX
teleport,"46;87;149;158","Телепорт; Адский портал; Божественный прыжок; Прыжок",move selected legal unit to a free tile,enemy resistance; occupancy and post-move action state,pathfinding/occupancy exists; action execution missing,public legality plus black-box resisted enemy move,PUBLIC_FAMILY_EDGE
resurrection,"49;147;207;286","Воскрешение; Истинное воскрешение; Тёмное возрождение; Самопожертвование",restore eligible dead friendly unit with specified life,corpse persistence; slot/tile restoration; caster self-cost order,death lifecycle known in fragments,public/data fixture plus existing death evidence,N2_EXACT_EDGE
temporary_transformation,"71;72;175;176;335;383","Форма Дракона; Полиморф; Двойник; Каменная форма; Обратить в медведя",replace tactical definition temporarily and later restore,which state fields persist and restoration on death/expiry,binary restoration marker known; public implementation incomplete,neutral state-vector tests from existing evidence,N2_EXACT_EDGE
side_control,157,Приказ,temporarily transfer enemy control then apply end penalty,slot/side transfer; return timing; action eligibility,binary side-transfer primitive known; action lifecycle incomplete,black-box first then existing side-transfer evidence,N2_EXACT_EDGE
extra_turn,111,Слово вождя,damage ally; restore stamina; grant another turn,which per-turn effects and action flags reset,turn model partial,R13 observation matrix,N1_BLACKBOX
instant_death,"190;221","Смертельное касание; Разрушение нежити",kill eligible target while bypassing normal resistance/immunity according to public exclusions,death trigger order; corpse/revival; caster cost,death resolver known in fragments,public exclusions plus black-box/death vectors,N2_EXACT_EDGE
caster_self_cost_or_sacrifice,"19;34;45;67;85;108;207;221","chaos summons; Жертвоприношение; Безумие; Тёмное возрождение; Разрушение нежити",apply caster life loss or consume a sacrifice as part of target effect,whether caster death prevents target effect and order of both deaths,damage/death primitives partial,public fixture; binary only if both orders reachable,N2_EXACT_EDGE
compound_action,"37;41;57;100;108;111","Исцеление; Кислота; Похищение жизни; Руна распада; Безумие; Слово вождя",combine multiple families in one atomic action,component order when one component kills or removes a status,generic action execution incomplete,fixture per materially noncommutative compound,N1_BLACKBOX
target_filter_and_resistance,cross_cutting,cross-cutting public exclusions and resistance clauses,refuse or scale effects by target category immunity and resistance,rounding and partial-resistance formula per family,content tags and resistance primitives partial,public/data table before binary mapping,PUBLIC_CROSS_CUTTING
