address,working_name,confidence,summary
00432950,sum_unit_instance_modifiers_candidate,proven,Persistent instance modifier aggregation
004328F0,sum_unit_intrinsic_modifiers_candidate,proven,Intrinsic UnitDef modifier aggregation
004A1F90,sum_hero_context_modifiers_candidate,strong,Hero personal modifier channel
004A2690,sum_commander_aura_modifiers_candidate,strong,Commander aura modifier channel
00454C70,random_below_ebx_candidate,proven,Legacy bounded RNG; bound in EBX
00454E80,weighted_roll_candidate,proven,Weighted selection; optional remove by value
00432660,calculate_unit_level_from_experience_candidate,proven,Level from XP; cap 30
00432B60,choose_unit_level_upgrade_candidate,proven,Weighted level-up candidate selection
00433130,apply_unit_level_upgrade_candidate,proven,Apply upgrade or 0x3E transformation
004331F0,construct_unit_instance_candidate,proven,Initialize 0xA4 unit instance
004D01C0,get_effective_battle_modifier_candidate,proven,Complete battle modifier resolver
004D0980,get_effective_battle_max_life_candidate,proven,Battle max life
004CEC40,resolve_attack_against_defence_candidate,proven,Power-versus-defence resolver
004D2DA0,calculate_ranged_attack_damage_candidate,proven,Ranged damage
004D2E60,calculate_melee_or_counterattack_damage_candidate,proven,Melee/counterattack damage
004D7050,execute_ranged_attack_candidate,proven,Ordinary ranged executor
004DCD90,execute_melee_attack_exchange_candidate,proven,Melee movement/first strike/attack/retaliation
004D9800,process_melee_or_counterattack_secondary_effects_candidate,strong,Melee hit secondary effects
004D61E0,apply_damage_to_battle_unit_candidate,proven,Central damage sink
004D1D30,resolve_battle_unit_death_candidate,proven,Death/revival/replacement cleanup
004D1BF0,transfer_battle_unit_to_opposite_side_slot_candidate,proven,Tactical side transfer
004CE9E0,collect_adjacent_battle_units_candidate,proven,Odd-row six-neighbour collector
004CEC00,initialize_runtime_modifier_node_candidate,proven,Runtime node initialization/insertion
004D0A70,adjust_battle_unit_morale_candidate,proven,Morale delta and break accumulation
004D0B40,refresh_battle_unit_status_ui_candidate,proven,UI refresh only
00458A90,calculate_province_gold_income_candidate,strong,Province gold income
00456AF0,calculate_province_gem_income_candidate,strong,Province gem income
0045EE00,read_var_token_to_eax_candidate,strong,VAR token reader
0045EE70,parse_var_integer_candidate,proven,VAR integer parser
